"EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	FATALITIES	latlong"
"04/01/2016	2016	1	Violence against civilians	37	Central African Republic	Mbomou	Bakouma	5.70193	22.78173	2	1	""5.701929,22.781732"""
"04/01/2016	2016	1	Riots/Protests	60	Central African Republic	Mbomou	Bakouma	5.70193	22.78173	1	0	""5.701929,22.781732"""
"04/01/2016	2016	1	Violence against civilians	47	Central African Republic	Ouham	Kabo	7.69757	18.62994	1	0	""7.697565,18.629944"""
"04/01/2016	2016	1	Violence against civilians	37	Central African Republic	Ouham Pende	Paoua	7.24521	16.43418	2	0	""7.245206,16.434175"""
"09/01/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Bangassou	4.74009	22.82224	3	1	""4.740092,22.822237"""
"10/01/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Bangassou	4.74009	22.82224	3	0	""4.740092,22.822237"""
"17/01/2016	2016	1	Violence against civilians	47	Central African Republic	Sangha-Mbaere	Bayanga	2.91036	16.27484	1	1	""2.910364,16.274837"""
"18/01/2016	2016	1	Riots/Protests	60	Central African Republic	Ombella MPoko	Bimbo	4.32962	18.52299	1	0	""4.329624,18.522989"""
"20/01/2016	2016	1	Violence against civilians	27	Central African Republic	Haute-Kotto	Bria	6.53742	21.99141	2	4	""6.537415,21.991405"""
"20/01/2016	2016	2	Violence against civilians	47	Central African Republic	Ouham	Batangafo	7.18683	18.33633	1	1	""7.186827,18.336326"""
"20/01/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Bakouma	6.13761	22.86426	1	0	""6.137611,22.864256"""
"20/01/2016	2016	1	Violence against civilians	27	Central African Republic	Haut-Mbomou	Zemio	5.16049	25.20244	1	0	""5.1604938,25.20243828"""
"23/01/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Bakouma	5.70193	22.78173	1	0	""5.701929,22.781732"""
"27/01/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"27/01/2016	2016	2	Violence against civilians	27	Central African Republic	Haut-Mbomou	Zemio	5.17573	25.21984	1	0	""5.17573,25.219842"""
"28/01/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"29/01/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"30/01/2016	2016	1	Violence against civilians	47	Central African Republic	Haut-Mbomou	Bambouti	5.40096	27.20520	1	1	""5.400963,27.205204"""
"30/01/2016	2016	2	Violence against civilians	27	Central African Republic	Haute-Kotto	Bria	6.53742	21.99141	3	0	""6.537415,21.991405"""
"30/01/2016	2016	1	Violence against civilians	47	Central African Republic	Ouham	Kabo	7.69757	18.62994	1	1	""7.697565,18.629944"""
"30/01/2016	2016	2	Violence against civilians	27	Central African Republic	Haut-Mbomou	Obo	5.40385	26.49464	3	0	""5.403851,26.494639"""
"02/02/2016	2016	1	Violence against civilians	37	Central African Republic	Nana-Gribizi	Kaga-Bandoro	6.99038	19.19154	1	1	""6.990379,19.191543"""
"02/02/2016	2016	1	Violence against civilians	47	Central African Republic	Bangui	Bangui	4.37038	18.53945	1	1	""4.37038,18.53945"""
"03/02/2016	2016	1	Riots/Protests	50	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"03/02/2016	2016	1	Riots/Protests	15	Central African Republic	Bangui	Bangui	4.37038	18.53945	1	0	""4.37038,18.53945"""
"03/02/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Bangassou	4.83882	22.75320	1	0	""4.838819,22.753196"""
"03/02/2016	2016	2	Violence against civilians	27	Central African Republic	Mbomou	Ouango	4.31365	22.55078	1	0	""4.313653,22.550776"""
"05/02/2016	2016	1	Violence against civilians	37	Central African Republic	Ouham	Kabo	7.69757	18.62994	1	1	""7.697565,18.629944"""
"06/02/2016	2016	1	Violence against civilians	27	Central African Republic	Haute-Kotto	Bria	6.53742	21.99141	2	0	""6.537415,21.991405"""
"07/02/2016	2016	1	Strategic development	23	Central African Republic	Haute-Kotto	Yalinga	7.52364	23.22237	1	0	""7.523636,23.222372"""
"08/02/2016	2016	1	Riots/Protests	60	Central African Republic	Ouaka	Bambari	5.76485	20.65418	1	0	""5.764845,20.654183"""
"09/02/2016	2016	1	Violence against civilians	37	Central African Republic	Nana-Gribizi	Mbres	6.66703	19.79994	1	3	""6.667027,19.799937"""
"10/02/2016	2016	1	Violence against civilians	47	Central African Republic	Ouham Pende	Bozoum	6.31857	16.37085	1	1	""6.318574,16.370852"""
"15/02/2016	2016	3	Violence against civilians	78	Central African Republic	Mbomou	Bangassou	4.74009	22.82224	1	0	""4.740092,22.822237"""
"15/02/2016	2016	3	Violence against civilians	78	Central African Republic	Kemo	Sibut	5.72748	19.08194	1	0	""5.727482,19.081939"""
"15/02/2016	2016	3	Violence against civilians	27	Central African Republic	Haut-Mbomou	Obo	5.40385	26.49464	3	0	""5.403851,26.494639"""
"18/02/2016	2016	1	Riots/Protests	60	Central African Republic	Mbomou	Bakouma	6.13761	22.86426	1	0	""6.137611,22.864256"""
"20/02/2016	2016	1	Strategic development	10	Central African Republic	Bangui	Bangui	4.36197	18.58664	3	0	""4.361967,18.586637"""
"20/02/2016	2016	2	Strategic development	30	Central African Republic	Ouham Pende	Bocaranga	6.98329	15.64622	2	0	""6.983292,15.646215"""
"23/02/2016	2016	1	Riots/Protests	50	Central African Republic	Ouham Pende	Bocaranga	6.98329	15.64622	2	0	""6.983292,15.646215"""
"25/02/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"29/02/2016	2016	1	Riots/Protests	50	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"01/03/2016	2016	1	Riots/Protests	55	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"01/03/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"01/03/2016	2016	1	Strategic development	13	Central African Republic	Nana-Gribizi	Kaga-Bandoro	6.99038	19.19154	1	0	""6.990379,19.191543"""
"02/03/2016	2016	1	Violence against civilians	37	Central African Republic	Ouaka	Bambari	5.76485	20.65418	2	2	""5.764845,20.654183"""
"02/03/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"04/03/2016	2016	1	Battle-No change of territory	33	Central African Republic	Ouaka	Bambari	5.76485	20.65418	2	1	""5.764845,20.654183"""
"05/03/2016	2016	1	Battle-No change of territory	33	Central African Republic	Ouaka	Bambari	5.76485	20.65418	2	5	""5.764845,20.654183"""
"05/03/2016	2016	2	Battle-No change of territory	23	Central African Republic	Haute-Kotto	Ouadda	8.07337	22.39628	2	4	""8.073368,22.396278"""
"05/03/2016	2016	1	Violence against civilians	27	Central African Republic	Haut-Mbomou	Zemio	5.10372	24.93985	1	0	""5.1037218,24.93984744"""
"06/03/2016	2016	1	Battle-No change of territory	33	Central African Republic	Ouaka	Bambari	5.76485	20.65418	2	2	""5.764845,20.654183"""
"07/03/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
"11/03/2016	2016	1	Violence against civilians	37	Central African Republic	Ombella MPoko	Damara	5.15087	18.86341	1	0	""5.150874,18.863412"""
"11/03/2016	2016	1	Riots/Protests	60	Central African Republic	Bangui	Bangui	4.36197	18.58664	1	0	""4.361967,18.586637"""
