date	YEAR	EVENT_TYPE	ACTOR1	INTER1	ACTOR2	INTER2	INTERACTION	COUNTRY	ADM_LEVEL_1	ADM_LEVEL_2	LOCATION	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	geo	lat	latlong
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Military Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Xinhua General News Service; Agence France Presse - English	0	88	-3.377288	"-3.377288,29.358"
13/05/2015	2015	Riots/Protests	Protesters (Burundi)	6	Police Forces of Burundi (2005-)	1	16	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse; Xinhua General News Service; Dalsan Radio; Isanganiro; Associated Press International	0	89	-3.377289	"-3.377289,29.358"
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Buterere	Buterere	-3.3333	29.3333	1	Dalsan Radio; Isanganiro; Radio France Internationale; Agence France Presse - English	1	90	-3.333390	"-3.333390,29.3333"
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Bwiza	Bwiza	-3.3725	29.365	1	Xinhua General News Service; Dalsan Radio; Isanganiro; Agence France Presse - English	1	91	-3.372591	"-3.372591,29.365"
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Musaga	Musaga	-3.4158	29.375	1	Dalsan Radio; Isanganiro; Agence France Presse - English	1	92	-3.415892	"-3.415892,29.375"
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Ngagara	Ngagara	-3.3527	29.37	1	Dalsan Radio; Isanganiro; Agence France Presse - English	0	93	-3.352793	"-3.352793,29.37"
13/05/2015	2015	Riots/Protests	Rioters (Burundi)	5	Police Forces of Burundi (2005-)	1	15	Burundi	Bujumbura Mairie	Saint-Michel	Saint-Michel	-3.37817	29.36648	1	Dalsan Radio; Isanganiro; Agence France Presse - English	0	94	-3.3781794	"-3.3781794,29.36648"
14/05/2015	2015	Battle-Government regains territory	Military Forces of Burundi (2005-)	1	Mutiny of Military Forces of Burundi (2005-)	1	11	Burundi	Bujumbura Mairie	Buterere	Bujumbura Airport	-3.31914	29.32063	1	Xinhua General News Service	0	95	-3.3191495	"-3.3191495,29.32063"
14/05/2015	2015	Battle-No change of territory	Military Forces of Burundi (2005-)	1	Mutiny of Military Forces of Burundi (2005-)	1	11	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Agence France Presse - English; Xinhua General News Service	4	96	-3.377296	"-3.377296,29.358"
14/05/2015	2015	Non-violent activity by a conflict actor	Military Forces of Burundi (2005-)	1		0	10	Burundi	Bujumbura Mairie	Buyenze	Bujumbura	-3.3772	29.358	1	Xinhua General News Service	0	97	-3.377297	"-3.377297,29.358"
