date,EVENT_TYPE,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,FATALITIES
7/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Kismayo,0
7/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Marka,0
7/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Wanla Weyn ,3
7/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Wanlaweyn,7
8/1/2015,Battle-No change of territory,Somalia,Bakool,Waajid,10
8/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,2
8/1/2015,Non-violent activity by a conflict actor,Somalia,Bay,Baydhabo,0
8/1/2015,Non-violent transfer of territory,Somalia,Galguduud,Dhuusamareeb,0
8/1/2015,Remote violence,Somalia,Gedo,Beled Hawo,0
8/1/2015,Violence against civilians,Somalia,Mudug,Galkacyo,1
8/1/2015,Battle-No change of territory,Somalia,Nugaal,Garoowe,1
8/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Marka,2
9/1/2015,Battle-Government regains territory,Somalia,Bakool,Yeed,0
9/1/2015,Battle-No change of territory,Somalia,Bakool,Xudur,0
9/1/2015,Violence against civilians,Somalia,Bari,Bosaso,0
10/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
10/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
10/1/2015,Non-violent activity by a conflict actor,Somalia,Banaadir,Mogadisho,0
10/1/2015,Remote violence,Somalia,Banaadir,Mogadisho,0
10/1/2015,Battle-No change of territory,Somalia,Galguduud,Cadaado,1
10/1/2015,Remote violence,Somalia,Jubbada Hoose,Kismayo,2
10/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
10/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Marka,0
11/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
11/1/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,4
11/1/2015,Battle-No change of territory,Somalia,Bari,Bosaso,1
11/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Afmadow,0
11/1/2015,Violence against civilians,Somalia,Jubbada Hoose,Kismayo,2
11/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
12/1/2015,Battle-No change of territory,Somalia,Bari,Bosasso,0
12/1/2015,Battle-No change of territory,Somalia,Bay,Baydhabo,0
12/1/2015,Battle-No change of territory,Somalia,Jubbada Hoose,Kismayo,1
12/1/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Barawa,10
13/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
13/01/2015,Battle-No change of territory,Somalia,Gedo,Baardheere,0
13/01/2015,Battle-No change of territory,Somalia,Nugaal,Garoowe,0
13/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
13/01/2015,Violence against civilians,Somalia,Shabeellaha Hoose,Afgooye,1
14/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,1
14/01/2015,Battle-No change of territory,Somalia,Bari,Bosaso,0
14/01/2015,Riots/Protests,Somalia,Galguduud,Caabudwaaq,0
14/01/2015,Non-violent activity by a conflict actor,Somalia,Gedo,Luuk,0
14/01/2015,Battle-No change of territory,Somalia,Mudug,Gaalkacayo,1
14/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Qoryooley,1
14/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
14/01/2015,Riots/Protests,Somalia,Woqooyi Galbeed,Berbera,0
15/01/2015,Remote violence,Somalia,Banaadir,Mogadisho,1
15/01/2015,Battle-No change of territory,Somalia,Gedo,Garbahaaray,15
15/01/2015,Violence against civilians,Somalia,Gedo,Luuq,0
15/01/2015,Violence against civilians,Somalia,Jubbada Hoose,Badhaadhe,0
15/01/2015,Violence against civilians,Somalia,Jubbada Hoose,Badhadhe,1
15/01/2015,Violence against civilians,Somalia,Jubbada Hoose,Badhadhe,0
16/01/2015,Battle-No change of territory,Somalia,Awdal,Boorama,0
16/01/2015,Non-violent transfer of territory,Somalia,Bay,Baydhabo,0
16/01/2015,Non-violent transfer of territory,Somalia,Bay,Goofgaduud ,0
16/01/2015,Non-violent transfer of territory,Somalia,Bay,Qansax Dheere,0
16/01/2015,Battle-No change of territory,Somalia,Gedo,Garbahaaray,10
16/01/2015,Non-violent activity by a conflict actor,Somalia,Mudug,Gaalkacayo,0
16/01/2015,Violence against civilians,Somalia,Shabeellaha Hoose,Barawa,1
16/01/2015,Riots/Protests,Somalia,Woqooyi Galbeed,Hargeysa,0
17/01/2015,Riots/Protests,Somalia,Banaadir,Mogadisho,0
17/01/2015,Violence against civilians,Somalia,Jubbada Hoose,Kismaayo,0
17/01/2015,Riots/Protests,Somalia,Sanaag,Ceerigaabo,0
17/01/2015,Battle-No change of territory,Somalia,Togdheer,Buuhoodle,0
18/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
18/01/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,0
18/01/2015,Battle-No change of territory,Somalia,Bay,Buur Xakaba,0
18/01/2015,Violence against civilians,Somalia,Bay,Baydhabo,1
18/01/2015,Violence against civilians,Somalia,Bay,Baidoa,0
18/01/2015,Violence against civilians,Somalia,Mudug,Galkacyo,1
18/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
18/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
18/01/2015,Violence against civilians,Somalia,Shabeellaha Hoose,Marka,1
19/01/2015,Riots/Protests,Somalia,Awdal,Boorama,0
19/01/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,1
19/01/2015,Battle-No change of territory,Somalia,Shabeellaha Dhexe,Balcad,1
19/01/2015,Battle-No change of territory,Somalia,Shabeellaha Hoose,Afgooye,0
19/01/2015,Remote violence,Somalia,Shabeellaha Hoose,Afgooye,3
19/01/2015,Riots/Protests,Somalia,Togdheer,Burao,0
19/01/2015,Riots/Protests,Somalia,Woqooyi Galbeed,Berbera,0
20/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
20/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
20/01/2015,Riots/Protests,Somalia,Bay,Baydhabo,0
20/01/2015,Violence against civilians,Somalia,Bay,Qansax Dheere ,0
20/01/2015,Battle-No change of territory,Somalia,Hiiraan,Beledweyne ,5
21/01/2015,Battle-No change of territory,Somalia,Bakool,Tiyeeglow,3
21/01/2015,Battle-No change of territory,Somalia,Bakool,Xudur,0
21/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,0
21/01/2015,Battle-No change of territory,Somalia,Galguduud,Ceel Buur,0
21/01/2015,Battle-No change of territory,Somalia,Hiiraan,Beledweyne ,20
21/01/2015,Riots/Protests,Somalia,Hiiraan,Beledweyne ,0
21/01/2015,Remote violence,Somalia,Jubbada Hoose,Kismayo,0
21/01/2015,Battle-No change of territory,Somalia,Mudug,Galkacyo,1
21/01/2015,Battle-No change of territory,Somalia,Togdheer,Buuhoodle,0
22/01/2015,Battle-No change of territory,Somalia,Bakool,Yeed,0
22/01/2015,Battle-No change of territory,Somalia,Banaadir,Mogadisho,5
22/01/2015,Riots/Protests,Somalia,Hiiraan,Beledweyne ,0
23/01/2015,Riots/Protests,Somalia,Galguduud,Dhusamareeb,0
23/01/2015,Riots/Protests,Somalia,Mudug,Galkacyo,0
23/01/2015,Violence against civilians,Somalia,Mudug,Galkacyo,0
23/01/2015,Violence against civilians,Somalia,Mudug,Galkacyo,0
24/01/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,1
24/01/2015,Violence against civilians,Somalia,Banaadir,Mogadisho,1
