EVENT_DATE	YEAR	TIME_PRECISION	EVENT_TYPE	INTERACTION	COUNTRY	ADMIN1	ADMIN2	LATITUDE	LONGITUDE	GEO_PRECISION	SOURCE	FATALITIES	latlong
07/05/2015	2015	1	Violence against civilians	57	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Radio Isanganiro; Bonesha FM	1	"-3.3733,29.3767"
08/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Radio Isanganiro	0	"-3.4158,29.375"
08/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Radio Isanganiro	0	"-3.4156,29.4075"
08/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	Radio Isanganiro	0	"-3.406532,29.354208"
08/05/2015	2015	1	Strategic development	36	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	Radio Isanganiro	0	"-3.3408,29.3603"
09/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Agence France Presse - English	0	"-3.3772,29.358"
10/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Radio France Internationale; Agence France Presse	0	"-3.3772,29.358"
10/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse	0	"-3.3363,29.3788"
10/05/2015	2015	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Agence France Presse - English; Radio France Internationale	1	"-3.4158,29.375"
11/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Jabe	-3.37099	29.37128	1	Bonesha FM	0	"-3.370986,29.371277"
11/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Bwiza	-3.37250	29.36500	1	Bonesha FM	0	"-3.3725,29.365"
11/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Bonesha FM	0	"-3.4156,29.4075"
11/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Bonesha FM	0	"-3.3733,29.3767"
11/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Associated Press international	0	"-3.4158,29.375"
12/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	Xinhua General News Service; Agence France Presse - English	1	"-3.3333,29.3333"
12/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Xinhua General News Service; Agence France Presse - English	0	"-3.3527,29.37"
13/05/2015	2015	1	Battle-No change of territory	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Xinhua General News Service; Associated Press International; Agence France Presse; Agence France Presse - English	4	"-3.3772,29.358"
13/05/2015	2015	1	Battle-Non-state actor overtakes territory	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Xinhua General News Service	4	"-3.3772,29.358"
13/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse; Xinhua General News Service; Dalsan Radio; Isanganiro; Associated Press International	0	"-3.3772,29.358"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua General News Service; Agence France Presse - English	0	"-3.3772,29.358"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	Dalsan Radio; Isanganiro; Radio France Internationale; Agence France Presse - English	1	"-3.3333,29.3333"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Bwiza	-3.37250	29.36500	1	Xinhua General News Service; Dalsan Radio; Isanganiro; Agence France Presse - English	1	"-3.3725,29.365"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Dalsan Radio; Isanganiro; Agence France Presse - English	1	"-3.4158,29.375"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Roherero	-3.37970	29.36500	1	Dalsan Radio; Isanganiro; Agence France Presse - English	0	"-3.3797,29.365"
13/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Dalsan Radio; Isanganiro; Agence France Presse - English	0	"-3.3527,29.37"
14/05/2015	2015	1	Battle-Government regains territory	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua General News Service	0	"-3.3772,29.358"
14/05/2015	2015	1	Battle-No change of territory	11	Burundi	Bujumbura Mairie	Kinindo	-3.42220	29.34440	1	Radio France Internationale; Agence France Presse - English; Human Rights Watch	0	"-3.4222,29.3444"
14/05/2015	2015	1	Battle-No change of territory	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Xinhua General News Service	4	"-3.3772,29.358"
14/05/2015	2015	1	Strategic development	10	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Agence France Presse - English; Agence France Presse	0	"-3.3772,29.358"
14/05/2015	2015	1	Strategic development	10	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua General News Service	0	"-3.3772,29.358"
15/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Buterere	-3.33330	29.33330	1	Xinhua News Agency - French	1	"-3.3333,29.3333"
15/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Xinhua News Agency - French	0	"-3.4156,29.4075"
15/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Xinhua News Agency - French	0	"-3.4158,29.375"
15/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Xinhua News Agency - French	0	"-3.3733,29.3767"
15/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Xinhua News Agency - French	0	"-3.3772,29.358"
15/05/2015	2015	1	Strategic development	11	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Xinhua General News Service	0	"-3.3772,29.358"
15/05/2015	2015	1	Violence against civilians	17	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Associated Press international; Agence France Presse	0	"-3.3772,29.358"
16/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Agence France Presse	0	"-3.3733,29.3767"
16/05/2015	2015	1	Riots/Protests	50	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Radio Isanganiro website	0	"-3.3733,29.3767"
18/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Associated Press International; Radio France Internationale	0	"-3.4158,29.375"
18/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Associated Press International; Radio France Internationale	0	"-3.3363,29.3788"
18/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Radio France Internationale	0	"-3.3733,29.3767"
18/05/2015	2015	1	Violence against civilians	37	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	2	Associated Press International	0	"-3.3772,29.358"
19/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Radio Burundi	0	"-3.4156,29.4075"
19/05/2015	2015	1	Riots/Protests	35	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Radio Burundi; Radio France Internationale	0	"-3.4158,29.375"
19/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Radio Burundi	0	"-3.3363,29.3788"
19/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Radio Burundi	0	"-3.3527,29.37"
19/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buterere	-3.34080	29.36030	1	Radio Burundi	0	"-3.3408,29.3603"
20/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Associated Press; Agence France Presse - English; Agence France Presse	1	"-3.3733,29.3767"
20/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Musaga	-3.41780	29.36690	1	Agence France Presse	0	"-3.4178,29.3669"
20/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Agence France Presse	0	"-3.4158,29.375"
21/05/2015	2015	1	Riots/Protests	16	Burundi	Bujumbura Mairie	Buyenze	-3.37720	29.35800	1	Associated Press International; Agence France Presse	0	"-3.3772,29.358"
21/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Kinama	-3.33630	29.37880	1	Agence France Presse	0	"-3.3363,29.3788"
21/05/2015	2015	1	Riots/Protests	60	Burundi	Bujumbura Mairie	Nyakabiga	-3.37330	29.37670	1	Agence France Presse	0	"-3.3733,29.3767"
21/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Musaga	-3.41580	29.37500	1	Xinhua General News Service; Associated Press International; Agence France Presse	1	"-3.4158,29.375"
21/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Rural	Kanyosha1	-3.41560	29.40750	1	Agence France Presse	0	"-3.4156,29.4075"
21/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinindo	-3.42220	29.34440	1	Agence France Presse	0	"-3.4222,29.3444"
21/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Roherero	-3.37970	29.36500	1	Agence France Presse	0	"-3.3797,29.365"
21/05/2015	2015	1	Riots/Protests	15	Burundi	Bujumbura Mairie	Kinindo	-3.40653	29.35421	1	Agence France Presse	0	"-3.406532,29.354208"
21/05/2015	2015	1	Violence against civilians	16	Burundi	Bujumbura Mairie	Ngagara	-3.35270	29.37000	1	Xinhua General News Service; Associated Press International	1	"-3.3527,29.37"
